number,relative_x,relative_y
1.000000000000000000e+00,4.665476861446053447e-01,1.868524883763358901e-01
2.000000000000000000e+00,5.431780911820340840e-01,2.202209698434813290e-01
3.000000000000000000e+00,4.082170793250699536e-01,2.322336231716536914e-01
4.000000000000000000e+00,7.399009220243883966e-01,2.362378409477110808e-01
5.000000000000000000e+00,6.598393048211046441e-01,3.069790216580593478e-01
6.000000000000000000e+00,5.031472825803922078e-01,3.083137609167451720e-01
8.000000000000000000e+00,6.232397083853179476e-01,3.550296349707487420e-01
9.000000000000000000e+00,5.397468790161791263e-01,3.576991134881203349e-01
1.100000000000000000e+01,5.511842529023623927e-01,4.991814749088167580e-01
1.200000000000000000e+01,6.175210214422259813e-01,5.432278704454487350e-01
1.300000000000000000e+01,6.598393048211046441e-01,5.712573948778508770e-01
1.400000000000000000e+01,4.756975852535521021e-01,5.779310911712799426e-01
1.500000000000000000e+01,7.513382959105716630e-01,6.179732689318544470e-01
1.600000000000000000e+01,7.010138508113648026e-01,6.326554007773983468e-01
1.700000000000000000e+01,5.786339502292027204e-01,7.447734985070069147e-01
1.800000000000000000e+01,4.299480897088184261e-01,3.710465060749785215e-01
1.900000000000000000e+01,3.864860689413215367e-01,4.711519504764146715e-01
2.000000000000000000e+01,3.578926342258631488e-01,2.709410616735423161e-01
2.100000000000000000e+01,4.288043523202000884e-01,5.151983460130465931e-01
2.200000000000000000e+01,6.415395066032111293e-01,4.978467356501309893e-01
2.300000000000000000e+01,6.461144561576847023e-01,7.140744955572332353e-01
2.400000000000000000e+01,4.436729383722385900e-01,6.433333148468849405e-01
2.500000000000000000e+01,3.350178864534963386e-01,5.005162141675026932e-01
2.600000000000000000e+01,4.242294027657267930e-01,6.006216585689387877e-01
2.700000000000000000e+01,5.065784947462471655e-01,4.431224260440125851e-01
2.800000000000000000e+01,7.387571846357701144e-01,7.527819340591217490e-01
2.900000000000000000e+01,3.487427351169163914e-01,6.032911370863104361e-01
3.000000000000000000e+01,5.786339502292027204e-01,6.873797103835169731e-01
3.100000000000000000e+01,4.871349591397354795e-01,7.714682836807231769e-01
3.200000000000000000e+01,4.768413226421704398e-01,8.675695103061019653e-01
3.300000000000000000e+01,3.613238463917181065e-01,7.060660600051182900e-01
3.400000000000000000e+01,3.807673819982299035e-01,4.124234230942387391e-01
3.500000000000000000e+01,3.956359680502682385e-01,5.365541741520195584e-01
3.600000000000000000e+01,5.866401119495310290e-01,2.882926720364578643e-01
3.700000000000000000e+01,4.002109176047417005e-01,1.788440528242209449e-01
3.800000000000000000e+01,4.928536460828271126e-01,1.227850039594167580e-01
3.900000000000000000e+01,5.031472825803922078e-01,6.927186674182601589e-01
4.000000000000000000e+01,2.458063701412657731e-01,5.645836985844218114e-01
4.100000000000000000e+01,3.350178864534963386e-01,1.788440528242209449e-01
4.200000000000000000e+01,3.098556639038927973e-01,4.004107697660663767e-01
4.300000000000000000e+01,2.400876831981741677e-01,3.750507238510358832e-01
4.400000000000000000e+01,2.526687944729758550e-01,2.068735772566231979e-01
4.500000000000000000e+01,2.355127336437007335e-01,2.575936690866841849e-01
4.600000000000000000e+01,1.897632380989671685e-01,6.513417503989997748e-01
4.700000000000000000e+01,6.278146579397911875e-01,7.607903696112368053e-01
4.800000000000000000e+01,3.910610184957949431e-01,8.555568569779296029e-01
4.900000000000000000e+01,3.327304116762595521e-01,7.781419799741522425e-01
5.000000000000000000e+01,2.400876831981741677e-01,6.540112289163714232e-01
5.100000000000000000e+01,2.343689962550823958e-01,4.684824719590430786e-01
5.200000000000000000e+01,8.096689027301070540e-01,3.243306320209748961e-01
5.300000000000000000e+01,6.449707187690664201e-01,8.115104614412976813e-01
