number,relative_x,relative_y
1.000000000000000000e+00,5.629494067083995468e-01,1.688556607751831029e-01
2.000000000000000000e+00,4.900548466607049791e-01,2.315884059334164524e-01
3.000000000000000000e+00,4.536075666368575843e-01,2.556137125897611773e-01
4.000000000000000000e+00,3.157912890466847422e-01,3.103380221958795815e-01
5.000000000000000000e+00,5.048615541703930232e-01,3.450412429217107890e-01
6.000000000000000000e+00,6.836810217873939832e-01,4.251255984428596868e-01
7.000000000000000000e+00,3.829909615906533782e-01,5.012057361879512785e-01
8.000000000000000000e+00,6.050915742359730398e-01,4.945320398945221019e-01
9.000000000000000000e+00,3.442657265653154552e-01,5.786206131917285278e-01
1.000000000000000000e+01,6.996267067978272358e-01,6.013111805893873729e-01
1.100000000000000000e+01,6.381219217575848646e-01,6.146585731762456151e-01
1.200000000000000000e+01,5.470037216979662942e-01,6.480270546433909429e-01
1.300000000000000000e+01,4.501906341346218476e-01,7.040861035081952268e-01
1.400000000000000000e+01,5.128343966756094829e-01,7.054208427668811066e-01
1.500000000000000000e+01,3.533775465712773456e-01,3.797444636475419966e-01
1.600000000000000000e+01,4.000756241018317838e-01,3.463759821803965577e-01
1.700000000000000000e+01,2.702321890168754570e-01,4.785151687902923223e-01
1.800000000000000000e+01,4.137433541107744528e-01,7.054208427668811066e-01
1.900000000000000000e+01,5.458647441972210856e-01,3.984308132691434245e-01
2.000000000000000000e+01,5.937017992285208434e-01,3.650623318019979857e-01
2.100000000000000000e+01,5.230851941823165818e-01,4.504856443578901803e-01
2.200000000000000000e+01,5.834510017218137445e-01,5.639384813461845170e-01
2.300000000000000000e+01,5.891458892255397872e-01,7.134292783189959408e-01
2.400000000000000000e+01,6.381219217575848646e-01,4.384729910297179289e-01
2.500000000000000000e+01,7.554366043343435644e-01,4.785151687902923223e-01
2.600000000000000000e+01,6.916538642926106650e-01,5.412479139485256718e-01
2.700000000000000000e+01,6.278711242508777657e-01,2.329231451921022211e-01
2.800000000000000000e+01,8.271921868812929235e-01,5.812900917091001762e-01
2.900000000000000000e+01,6.950707967948462906e-01,3.183464577479944158e-01
3.000000000000000000e+01,8.431378718917261761e-01,3.957613347517717761e-01
3.100000000000000000e+01,8.078295693686239343e-01,5.279005213616675407e-01
3.200000000000000000e+01,6.722912467799416758e-01,9.411026228877750199e-02
3.300000000000000000e+01,7.360739868216745752e-01,1.181355689451220048e-01
3.400000000000000000e+01,7.520196718321078277e-01,2.249147096399873869e-01
3.500000000000000000e+01,8.032736593656432111e-01,2.729653229526767255e-01
3.600000000000000000e+01,8.260532093805477150e-01,2.102325777944433760e-01
3.700000000000000000e+01,6.802640892851582466e-01,3.677318103193696341e-01
3.800000000000000000e+01,3.670452765802201811e-01,2.142367955705007931e-01
3.900000000000000000e+01,4.649973416443098362e-01,6.400186190912761086e-01
4.000000000000000000e+01,4.980276891659214944e-01,7.748272842185435216e-01
4.100000000000000000e+01,5.470037216979662942e-01,8.495726827049491225e-01
4.200000000000000000e+01,7.144334143075151689e-01,7.548061953382562139e-01
4.300000000000000000e+01,2.565644590079328435e-01,3.450412429217107890e-01
