number,relative_x,relative_y
1.000000000000000000e+00,5.851897626961111154e-01,2.402045604935376388e-01
2.000000000000000000e+00,7.213168978144454124e-01,2.350543901087341070e-01
3.000000000000000000e+00,6.378841375806274527e-01,2.402045604935376388e-01
4.000000000000000000e+00,7.227806304501263046e-01,2.934229878031744398e-01
5.000000000000000000e+00,3.780715947472478300e-01,3.303325422276000012e-01
6.000000000000000000e+00,6.510577313017567036e-01,3.457830533820107077e-01
7.000000000000000000e+00,5.449371152148833053e-01,3.698171818444273007e-01
8.000000000000000000e+00,4.900471413768453521e-01,3.818342460756355972e-01
9.000000000000000000e+00,3.875858568791744618e-01,3.938513103068440047e-01
1.000000000000000000e+01,7.827936685130477690e-01,4.041516510764510683e-01
1.200000000000000000e+01,7.454684863031820763e-01,4.341943116544718650e-01
1.300000000000000000e+01,4.856559434698023425e-01,4.530782697320848706e-01
1.400000000000000000e+01,3.305002840876149484e-01,4.565117166552873362e-01
1.500000000000000000e+01,4.073462474608681161e-01,5.174553995421294905e-01
1.600000000000000000e+01,5.127349972299010128e-01,5.500731453125520254e-01
1.700000000000000000e+01,7.337586252177339396e-01,5.500731453125520254e-01
1.800000000000000000e+01,3.363552146303390167e-01,6.041499343529894706e-01
2.000000000000000000e+01,6.774049187440148723e-01,6.393427653158137991e-01
2.100000000000000000e+01,5.317635214937541654e-01,6.427762122390162647e-01
2.200000000000000000e+01,6.181237469989337985e-01,6.633768937782303921e-01
2.300000000000000000e+01,5.522557783932884323e-01,7.183120445494683981e-01
2.400000000000000000e+01,4.373527664923288483e-01,8.015731324371260236e-01
2.500000000000000000e+01,6.247105438594984239e-01,8.084400262835308437e-01
2.600000000000000000e+01,7.520552831637464797e-01,6.359093183926113335e-01
2.700000000000000000e+01,4.658955528881086328e-01,7.543632372430933986e-01
2.800000000000000000e+01,4.805328792449187203e-01,6.590850851242273656e-01
2.900000000000000000e+01,4.293022369960832751e-01,6.693854258938345403e-01
3.000000000000000000e+01,4.922427403303668569e-01,6.934195543562512443e-01
3.100000000000000000e+01,4.907790076946857982e-01,7.311874705114773665e-01
3.200000000000000000e+01,5.324953878115947781e-01,4.608035253092903072e-01
3.300000000000000000e+01,6.232468112238175317e-01,5.157386760805282577e-01
3.400000000000000000e+01,6.115369501383693951e-01,4.084434597304540393e-01
3.500000000000000000e+01,5.968996237815592520e-01,4.436362906932783678e-01
3.600000000000000000e+01,5.961677574637187504e-01,4.702455043480968655e-01
3.700000000000000000e+01,5.917765595566757408e-01,4.968547180029151966e-01
3.800000000000000000e+01,8.186551180872325695e-01,5.320475489657394697e-01
3.900000000000000000e+01,6.927741114186655169e-01,5.148803143497276968e-01
4.000000000000000000e+01,7.827936685130477690e-01,6.565099999318257940e-01
4.100000000000000000e+01,8.530528350257364778e-01,4.590868018476890744e-01
4.200000000000000000e+01,8.581758992506198780e-01,5.938495935833822958e-01
4.300000000000000000e+01,5.273723235867111558e-01,4.101601831920552721e-01
4.400000000000000000e+01,5.990952227350808679e-01,1.629520047214841338e-01
4.500000000000000000e+01,6.532533302552782084e-01,1.260424502970586003e-01
4.600000000000000000e+01,5.925084258745162424e-01,6.681549087181769264e-02
4.700000000000000000e+01,4.951702056017289189e-01,1.303342589510615712e-01
4.800000000000000000e+01,4.205198411819972559e-01,1.045834070270437871e-01
4.900000000000000000e+01,3.356233483124985151e-01,2.007199208767103393e-01
5.000000000000000000e+01,2.704872460246934840e-01,3.028649668419809982e-01
5.100000000000000000e+01,3.063486955988782845e-01,5.251806551193347605e-01
5.200000000000000000e+01,5.112712645942200096e-01,9.011430932099949720e-01
5.300000000000000000e+01,2.997618987383136591e-01,6.994280864718553925e-01
5.400000000000000000e+01,7.754750053346427530e-01,7.260373001266738902e-01
5.500000000000000000e+01,2.639004491641288586e-01,4.127352683844570658e-01
5.600000000000000000e+01,3.985638516467820969e-01,8.762506030167775961e-01
5.700000000000000000e+01,4.278385043604022719e-01,4.608035253092903072e-01
5.800000000000000000e+01,2.587773849392453474e-01,6.256089776230042698e-01
5.900000000000000000e+01,8.428067065759692333e-01,6.822608518558433977e-01
6.000000000000000000e+01,2.690235133890124253e-01,5.543649539665549408e-01
6.100000000000000000e+01,2.112060742796124657e-01,5.466396983893496708e-01
6.200000000000000000e+01,8.413429739402883412e-01,3.595168410748202370e-01
