number,relative_x,relative_y
1.000000000000000000e+00,5.750597123983354209e-01,2.001309059687517156e-01
2.000000000000000000e+00,4.915312280176130089e-01,2.601941726096133056e-01
3.000000000000000000e+00,3.221540235789260298e-01,3.309353533199616004e-01
4.000000000000000000e+00,5.878210086231679954e-01,3.469522244241913800e-01
5.000000000000000000e+00,5.576579448190183141e-01,4.176934051345396193e-01
6.000000000000000000e+00,3.894408582189523571e-01,5.151293710186041208e-01
7.000000000000000000e+00,5.147335847900359473e-01,3.656385740457928635e-01
8.000000000000000000e+00,4.660086355679478598e-01,4.270365799453403888e-01
9.000000000000000000e+00,6.319054864907716063e-01,3.469522244241913800e-01
1.000000000000000000e+01,3.975616830893003995e-01,3.749817488565935220e-01
1.100000000000000000e+01,7.061530281625247873e-01,4.417187117908843441e-01
1.200000000000000000e+01,6.562679611018155112e-01,4.537313651190566510e-01
1.300000000000000000e+01,5.924614799776526386e-01,5.912095087636957125e-01
1.400000000000000000e+01,6.388661935224984045e-01,6.232432509721552716e-01
1.500000000000000000e+01,7.629988022549607507e-01,4.804261502927729688e-01
1.600000000000000000e+01,6.237846616204235639e-01,3.869944021847658289e-01
1.700000000000000000e+01,4.555675750203574959e-01,2.922279148180730313e-01
1.800000000000000000e+01,5.541775913031549150e-01,6.472685576284999964e-01
1.900000000000000000e+01,5.263347631762474998e-01,7.180097383388481802e-01
2.000000000000000000e+01,6.005823048480006809e-01,7.260181738909631255e-01
2.100000000000000000e+01,7.131137351942516966e-01,6.312516865242702169e-01
2.200000000000000000e+01,3.499968517058334450e-01,5.885400302463240640e-01
2.300000000000000000e+01,4.056825079596484418e-01,7.193444775975339489e-01
2.400000000000000000e+01,4.555675750203574959e-01,7.166749990801624115e-01
2.500000000000000000e+01,4.810901674700228114e-01,6.339211650416418653e-01
2.600000000000000000e+01,3.499968517058334450e-01,4.043460125476815437e-01
2.700000000000000000e+01,7.270351492577052932e-01,3.189226999917892935e-01
2.800000000000000000e+01,7.038327924852825213e-01,3.683080525631644009e-01
2.900000000000000000e+01,8.105636336384275387e-01,4.964430213970027483e-01
3.000000000000000000e+01,8.268052833791236234e-01,5.791968554355233501e-01
3.100000000000000000e+01,8.685695255694850792e-01,4.043460125476815437e-01
3.200000000000000000e+01,7.525577417073704423e-01,1.387329000692041070e-01
3.300000000000000000e+01,8.024428087680797184e-01,2.535204763161842401e-01
3.400000000000000000e+01,6.922316140990709687e-01,1.440718571039473761e-01
3.500000000000000000e+01,6.435066648769829367e-01,2.535204763161842401e-01
3.600000000000000000e+01,4.555675750203574959e-01,9.008690167788050429e-01
3.700000000000000000e+01,7.049929103239036543e-01,7.540476983233652675e-01
3.800000000000000000e+01,5.321353523693530541e-01,7.980940938599970780e-01
