stamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,behavior
1,-1.999974118786441,-0.1016487409833688,-0.1332883166785618,-1.391454858558428,1.247964764695128,0.5931115928293462,-0.4804077998924793,-2.021952431339557,3.983844417611789,0.6329102736993942,0.05772154799535596,-0.7432115718181819,2.690555107347071,-1.445267308045844,-1.313705285245767,-0.4684510150404881,-0.7654865172102872,4.521524481739186,-0.9798083907010289,-0.519987780647933,1.398710649065008,0.1913386035195884,-0.5212185696475347,-0.5653231563535438,-0.5086894077304263,-0.3032213797290399,-0.7971125718593028,-0.7197157730529444,-0.9689097168335292,-1.785067074405979,0.2611289242647347,-0.3476313767474494,-0.8428989639497584,-0.9533244173576009,-1.179142430352205,-0.6290983627380119,-1.105798949139855,-0.8805941768406178,-0.9027983665399721,0.2087739098831615,-0.7100450775888199,-1.284919739997724,-0.2836097395480756,Open-Armed-Exp
2,-2.102052021117228,0.006864096955134469,0.02920621225072672,-1.424362893555785,1.347964848833547,0.6236015483861727,-0.5501506385469621,-1.841731874337814,4.115725131359881,0.5187859783980615,0.03236830506574541,-0.6511269392921326,2.754563678546938,-1.584625523357271,-1.362616874346622,-0.4852742973918303,-0.8221768000451813,4.442948387678512,-0.9781084858134522,-0.6507161201456537,1.563590695071114,0.217198893087436,-0.5546943526108559,-0.4642009739023679,-0.5191228211381992,-0.4448727965479329,-0.8618596540332966,-0.7648751885455746,-0.8496037910453376,-1.596054692314066,0.202945159741453,-0.2881224613836067,-0.8006190776881824,-1.113728286598764,-1.242604166926348,-0.757047726591259,-1.096795030108181,-0.8920952719414746,-1.105339959515721,0.03051655504033769,-1.029988983955583,-1.329724750358199,-0.547881957863213,Open-Armed-Exp
3,-2.206403144765159,0.1381764950917625,0.2076838402950978,-1.448924433897812,1.444545715542915,0.651412671598795,-0.6137375041195673,-1.671957634504717,4.231862569291599,0.3989296663306715,-0.0008183984227698274,-0.5696216315114705,2.799519702394235,-1.72216185744612,-1.414700713127484,-0.4978224623746424,-0.8970017006169793,4.346368221087542,-0.984536100681556,-0.7787592332600649,1.700683193536954,0.2368954106176219,-0.5899814448585778,-0.3664262583850692,-0.5277367289818293,-0.5794837644155224,-0.9142214266824537,-0.8061356189808895,-0.7309390790288016,-1.371985328294929,0.1369426928422125,-0.2143782839284903,-0.7560055089715086,-1.267700462761843,-1.249673404960341,-0.8736392568836538,-1.082288645003183,-0.8844730330001582,-1.307858785304191,-0.1465209967226567,-1.345373237945084,-1.381423944531383,-0.7836489420873027,Open-Armed-Exp
4,-2.310533584290955,0.2979050168792284,0.396479643429626,-1.458241125935407,1.531766823566027,0.6734387673136891,-0.6652078470718904,-1.516085338288458,4.313441626453622,0.2783017975834973,-0.04596770659739136,-0.5144587454761151,2.814345689876128,-1.844024993595023,-1.470508706672802,-0.5021747272558515,-0.9933208605011217,4.225845003214254,-1.007155316129616,-0.8845763849422031,1.783788407376635,0.2430382115096905,-0.6291497898479839,-0.2770949371596256,-0.5329716872873774,-0.6900931512496796,-0.940256099133268,-0.8348741579487988,-0.6149677339070341,-1.107627830771736,0.06956660824036612,-0.1107936610223183,-0.7110870049668556,-1.39675885855798,-1.158691189479223,-0.9581786382080139,-1.057192667490884,-0.8492999062343565,-1.496946845398571,-0.3102883661828187,-1.641465018947364,-1.444132280042813,-0.9529734147325599,Open-Armed-Exp
5,-2.411023945157998,0.4681689917113431,0.5633412512327461,-1.454049894349528,1.601178559797643,0.6880473007860398,-0.7053272696961937,-1.361748113372584,4.343117925640021,0.1705617986258279,-0.09752007560251005,-0.5021813384589121,2.807567596280246,-1.929083630686056,-1.530013253058828,-0.4978329018040712,-1.097775027163923,4.089374192135395,-1.049492367674504,-0.9384805575041222,1.797390537726952,0.2310281593507099,-0.6754240768622978,-0.2010990536488115,-0.5360244884628822,-0.7577433990902319,-0.9287549862087098,-0.8374305592257129,-0.5021347487394443,-0.8382988391076167,0.02120138842452223,0.03315026016653548,-0.6751863452552148,-1.479229771184866,-0.9672792858541795,-0.9907557616586253,-1.018440459524308,-0.797658345764788,-1.65196631192943,-0.4431557210455521,-1.89388022040707,-1.516766050462055,-1.030835989544206,Open-Armed-Exp
6,-2.500556145554868,0.6231608282527717,0.6709882344852639,-1.448926896458968,1.648270911023261,0.6969934612194872,-0.7414328288440256,-1.188985705136753,4.317817511620359,0.09124890959370101,-0.140401635748384,-0.535586368047519,2.798854728768672,-1.96048903746487,-1.592060326979499,-0.4884451960165636,-1.190617717343886,3.951518118134309,-1.104025261595112,-0.9261368327995302,1.749602695096126,0.2058755187700058,-0.7335469836668742,-0.1422446838143471,-0.5427528179793341,-0.7747315002674094,-0.8795104508477729,-0.8038836069616223,-0.3943006764295273,-0.6121422331738471,0.008641954505913915,0.2090318819185183,-0.6622987925040643,-1.505867800871654,-0.7275509070821143,-0.9699830884072291,-0.9682659000245255,-0.7508675093243637,-1.759200620178114,-0.5351311563098887,-2.063184559950007,-1.586745297015026,-1.024947083062059,Open-Armed-Exp
7,-2.562185504865585,0.7468665042466618,0.7026854294327244,-1.456315089420221,1.676892115756638,0.70474539477389,-0.7789598910885054,-0.9958956023966373,4.252766914833368,0.0523104517675133,-0.1611196878916697,-0.5975741228461282,2.797036318532597,-1.930894665330762,-1.649286419361734,-0.4783955118581368,-1.255381340791825,3.827656395843929,-1.153951072135095,-0.8695267036061195,1.668829215967726,0.183976347949058,-0.807311293953233,-0.1067675752257269,-0.561380483108213,-0.7506705525956985,-0.80741780108956,-0.7396341474031453,-0.3062343035871927,-0.4512452292155652,0.0297541462700652,0.3816391146009627,-0.682755450344058,-1.488773217711601,-0.5279318706748267,-0.9212334454274113,-0.9172611793849315,-0.7202858231907865,-1.822052297641199,-0.5906887500754131,-2.103299849360738,-1.626089001372021,-0.9719288690733018,Open-Armed-Exp
8,-2.572381769137604,0.8399407948258079,0.6689122163308064,-1.47778831009471,1.6988077326744,0.716218638455097,-0.8158076835333679,-0.8100259192733639,4.172337376036122,0.05476771996256352,-0.1611042685269192,-0.6608288413801462,2.784717629773702,-1.847882519762903,-1.685785866590786,-0.4680216392383205,-1.281373727744467,3.733674262143349,-1.183380732045583,-0.8132888247223473,1.589452061367101,0.1827745214693473,-0.8940481432474428,-0.1033878954794317,-0.5949565681733298,-0.7070598854358504,-0.7369794020749502,-0.6682152637095464,-0.2668450090135268,-0.3414604616081983,0.07056035282483406,0.5087812175406193,-0.7301374805158881,-1.452017239449804,-0.4453987437173224,-0.8827057936128285,-0.8824643005445119,-0.6987049639202404,-1.860546130176347,-0.6286579318661047,-2.00448133116239,-1.608746533405766,-0.911497109142082,Open-Armed-Exp
9,-2.514439921932546,0.9182277224725793,0.5953269653059727,-1.500906526361524,1.728024331433158,0.7334058891140073,-0.8455794978345488,-0.6703137285558913,4.095320474108394,0.08117656785731205,-0.1581146991525735,-0.7037096324430793,2.720841492920691,-1.742593351311118,-1.685953827725104,-0.4532613422274845,-1.264894969668107,3.679400797288568,-1.185996999723319,-0.788092420041748,1.537929199208184,0.2047555258127024,-0.982444012933822,-0.1363884695966115,-0.6341093463277936,-0.6652909438820231,-0.6904184632452167,-0.6196836678257515,-0.2946545925983848,-0.2570854131046152,0.1227773388598498,0.5792137646857973,-0.7758926046613516,-1.410589872811153,-0.5006941726428084,-0.8748956021788103,-0.8774702706955467,-0.6705141323794104,-1.899169034389982,-0.6752439996849865,-1.827447129959599,-1.540157108792222,-0.8605823464716356,Open-Armed-Exp
10,-2.391605760788075,1.004918440384091,0.508816209982922,-1.509137024864556,1.772714612547886,0.7519026028752139,-0.8634800715127086,-0.5986938344579195,4.026779922022306,0.1005569663859224,-0.1743948000609262,-0.7201903350819623,2.563281823435411,-1.664308081337651,-1.648155945537687,-0.4319278605711471,-1.21016663003525,3.657092066970556,-1.166315604878422,-0.7897017606270844,1.524834512141433,0.2327142954676918,-1.058432046990197,-0.1981094309888519,-0.6588294890631913,-0.634208118158643,-0.6773731269259545,-0.6117208076675641,-0.3700029573740738,-0.1953728545027993,0.1901953159902245,0.6278800480920389,-0.7840843333492152,-1.358459169716722,-0.6485131614760882,-0.8812982362973264,-0.9036192661893963,-0.6283277016299834,-1.949631722689804,-0.7500810137826573,-1.673762979527966,-1.463194217558971,-0.8098638614454473,Open-Armed-Exp
